id,aq_total_4,os,os_costOnly,os_decay,os_evidenceOnly,ts_decay,ts_decay_stop,ts_flex_decay,ts_flex_decay_stop,ts_ratio_decay,ts_ratio_decay_stop,ts2_decay,ts2_decay_stop,ts2_flex_decay,ts2_flex_decay_stop,ts2_ratio_decay,ts2_ratio_decay_stop
16,57,6997.4399964862605,6993.025850284884,7012.810237886649,7215.806015208993,4689.996049286199,5923.054842607037,6832.310107906848,5952.483047180943,5948.8353981132195,5962.548638168538,6864.476734830045,6894.415917303573,6025.086656168037,6904.645199500989,5725.258308926659,6925.706461497921
28,57,3319.2939085710645,3414.501875833669,3323.7261293634338,3414.630904384901,3158.267498444966,3255.4981159764657,3235.2374353778027,3238.2159254414087,3249.418616079453,3241.0603060900485,3003.615855791892,3230.379575988018,3161.9654877201447,3169.933641003013,3151.7487759113847,3223.405294918307
23,58,4953.398442887754,5093.6966630783545,4960.857180349481,5223.147715389618,3820.7148652106343,4834.029314154306,4827.552528651459,4845.145183633585,4161.6735568523945,4869.587612800097,4235.666126730032,4472.819145314206,4205.425852424443,4187.612865825791,4079.225732482535,4457.371113222129
26,58,2526.9706393962947,3072.3090170592686,2492.638805969933,2586.4588431355646,2570.900377843755,2559.1403676345626,2485.2240030366165,2513.9330515861784,2468.9591718580045,2552.285001800726,2610.9357081326607,2541.5949225279587,2470.2828307674044,2434.4314333802663,2571.3057040850963,2464.6952845727305
73,59,8189.918442457674,8497.869613817005,8171.496342621374,8398.321567747265,6984.059122356709,6992.774869929479,6959.818699973463,6987.061643961092,7308.680453933341,6994.438129850575,8128.4102037197035,8068.484028039357,7853.2364303474205,8050.083560757621,7876.79831008415,8059.685166716228
75,59,7214.418488347436,7289.544849806209,7219.594847574824,7419.771864733846,6919.285190782306,6662.400994733467,6738.559055573565,6652.475939446049,6689.248725231869,6655.5347031544325,7077.331366416275,7231.35811398462,6983.799801283915,7211.300723466793,7022.464760858153,7223.582824882701
86,59,9192.780369234326,9182.26295538698,9200.795922687194,9383.251197420475,8597.379069502616,8711.608629909111,8667.785069989886,8702.836799111337,8495.163352769016,8702.83463219319,9287.083990435061,9209.070732138543,9044.027781364626,9187.270918288677,8916.392527729136,9200.953877976917
7,60,5414.318438892643,5526.3948407934495,5392.352825938673,5538.887701421739,4886.676744923804,4866.878492135473,5175.781908786452,4850.6574446097975,5014.760670483278,4870.8329643907055,5248.980228375534,5319.521417617642,4649.385126042574,5294.754179798158,4841.943188643524,5299.008291748718
15,60,6856.098169562723,6779.837592838832,6884.48459328014,7315.362755830428,5996.920289008437,6239.614238304373,5993.079799024708,6052.863444418332,6173.543340025613,6232.6995828376275,6762.674834018079,7128.229598697033,6620.73497541221,6939.493445937027,6458.254199201821,6968.320313535398
49,60,4377.491660554525,4508.178580632064,4367.752865997839,4631.31873015688,3694.930061598238,4025.55917917773,4046.192043139803,3972.949800735223,3785.6333422309526,3994.3971098003567,4351.370471838478,4005.08422677739,3928.231776933061,3944.8328863921115,4105.107763560685,3986.2225055675526
