id,aq_total_4,os,os_costOnly,os_decay,os_evidenceOnly,ts_decay,ts_decay_stop,ts_flex_decay,ts_flex_decay_stop,ts_ratio_decay,ts_ratio_decay_stop,ts2_decay,ts2_decay_stop,ts2_flex_decay,ts2_flex_decay_stop,ts2_ratio_decay,ts2_ratio_decay_stop
51,65,3288.4172896894206,3198.773715831662,3309.462506617649,3691.620954000737,2029.99928267875,2634.398865064204,2367.727848816359,2600.4524871294448,3019.452748944959,2632.2519394420406,1707.13762991153,2435.21208949147,2032.9370140648166,2270.8519530492986,2780.0165555431668,2433.152217926535
52,65,4061.7032501931576,4230.42062064015,4069.736834966753,4345.455459593105,3936.181343692999,3505.8202502116083,3451.1583167518543,3480.4596246823166,4004.5283886803304,3507.146448286491,4026.7880696369466,4211.1897348760185,3976.8326935256423,4160.046751383286,4057.1534513348547,4210.014141182324
72,65,5230.74204466521,5467.995452563603,5233.104174522866,5384.620083682687,4393.869802580393,5151.3586794763205,5144.341408314756,5174.376543956742,4483.868457320551,5169.410844355462,5035.810296198677,4942.290423124841,4541.414378193621,4774.790893687785,4695.934465949369,4994.165435401247
74,65,5978.024717008921,6350.157253002933,5980.048765515193,6167.823512859423,4714.055703578523,5145.7544672197055,4911.495031183616,5138.423389026876,4773.1690031641465,5153.640634777854,5445.524962601216,5688.724612338979,5340.85455466713,5621.63447317683,4933.10080365047,5686.687574112294
62,66,7250.3445138105735,7588.10287329003,7248.857886249351,7404.380524826469,6056.623770142917,6628.606491675708,6802.544158316255,6574.312102875302,6531.0530521995715,6582.635750262839,7114.967496419597,6958.110642565805,6756.253995744979,6991.111792030509,6921.897529154027,6957.326812309814
92,66,6805.051915194691,6925.423675316975,6789.148027539272,7004.160698913554,5273.727835207258,6129.622887963382,6142.728469759813,6138.269489288376,6031.549240667486,6138.269908526485,6234.2892858245505,5934.839324929671,5794.824075687668,5834.720006829683,5518.129788734822,5847.533460125228
100,66,7382.001903964458,6904.604682909659,7392.485991059079,7757.592574262817,5296.867839673018,6041.496835889048,6053.110791522771,6040.4665652837275,5735.584625904088,6047.201994309092,7607.747430808205,6727.486748459854,6243.079999762206,6649.7800588540995,6237.370785561027,6725.460326285386
12,67,5747.7003879053855,5337.277717188591,5708.901810351483,6120.158942808145,3789.401011677066,3919.8629307931237,3701.0518649627584,3913.0052366922528,4302.010472915186,3914.6396761941246,5607.910942225216,5226.858626334773,4642.405699470948,5055.537498937206,4455.32361690556,5178.968722989513
56,67,4167.043397225268,4194.558888636738,4188.799611302275,4348.634424525036,3825.4130601675756,3991.2390709266115,3855.3387191017746,3797.3068784637007,3800.8450312058026,3961.667886542363,3981.7382635056797,4019.6855341670735,4021.7688475368263,4092.4577227699046,3650.6787896412166,4015.7166415064526
103,67,6022.9846050631595,6667.580650999057,5961.384045674096,6072.437580772198,5717.053350313423,5734.537101941799,5793.474496034007,5729.377655772369,5861.280930268144,5732.506967045697,5962.6400596172025,5919.519710235161,5907.666986581773,5937.766267296168,5905.400177132389,5903.884822261749
109,67,6461.585861776445,6556.723903907817,6462.899421458736,6739.098970418984,4686.330817410173,5072.304783333737,4943.377927667555,4935.677656766386,4798.544506953198,4938.472374939994,5384.586418707005,6089.923816396193,6008.780861652579,5920.1738036405295,5821.9938788774,6090.681828418991
114,67,6259.977377227663,6039.4523551062275,6256.9957672917035,6521.260635786283,4172.119692391874,5531.5299078783455,5493.7221528810815,5600.106639134327,5568.8901296967415,5491.091405080122,5768.917284655032,5754.083239496692,5712.282104763785,5815.3754067955315,5402.910584395466,5752.051247845419
29,68,5315.635707678047,5850.369555389304,5292.628183931569,5378.190951575547,4985.215045335452,5058.79852109295,4680.9985410089275,5055.888433625893,5130.497379772832,5056.183466732549,5060.517843877557,5118.80272035962,4849.026891733043,5087.942360969127,5036.778215546094,5122.835431375917
58,68,5117.0390728974235,4791.758793186392,5124.268347174981,5621.159620096905,4116.5367319683655,4173.750950125752,4697.764847804878,4152.609376123852,4847.837210882377,4165.460845923079,5333.15173904908,5218.336025552421,4837.676660388772,5143.7727602358855,4881.809339859971,5251.240621318208
60,68,6796.306445086467,6478.090364645368,6904.271666229565,7180.156965223877,5153.694971661443,5832.639787098271,5601.904246768096,5199.828947061028,6239.801616890206,5933.9273854120975,6796.934417761393,6524.591775996348,6322.04532061699,6410.892746419904,6362.532889943208,6484.153291513424
102,68,6502.67857729154,6437.724959133555,6504.706911853498,6823.266093575353,5252.427520980742,5855.483441987088,5674.779258663966,5560.230624728656,5682.995855345367,5611.292273006999,6485.0864569717,6448.620668773901,6183.930418139501,6351.356067886045,5957.446498072209,6411.823014455615
34,69,4258.569691723311,4352.944334389427,4249.88345685298,4654.3153767139465,3480.230947614481,3621.705833860653,3541.2278359216903,3501.897042788713,4112.9678882053195,3588.6666119290826,3800.2292521036334,3994.771723690897,3568.6191281637125,3882.613967070233,3243.6150225953265,3992.6900503586667
37,69,6036.731653857844,6160.057721647617,6018.520316723815,6457.123055688664,5695.213610086464,5461.994744674711,5665.251470510938,5683.23275322191,5587.36982053383,5484.951539908522,5929.116965602846,5949.0911073157395,5744.094771623231,5947.060107384462,5657.2200995449175,5947.060001827048
76,70,4078.049325743521,4516.32132144767,4080.144410592431,4089.3408416082666,3712.4214954883173,3570.0633805126054,3630.8583491378276,3567.995274892056,3823.532580241432,3567.983885427762,3710.456974631243,3786.2246993172553,3484.182387586084,3777.444957173426,3679.8580488234197,3784.1640896671456
79,70,5560.996684933904,5611.773792946125,5556.521908757437,5875.29240174323,4698.282365934209,4462.893417222125,4445.644719628199,4459.866598563991,4424.840408970049,4460.985435252429,5306.193107984794,5081.2484624368135,4769.501723639545,5010.72649398244,4775.636111243795,5075.470768064881
