id,a1,b1,gamma1,sigma1,ll,model
31,-0.93221075038802,2.90912006309953,5.51977767912229,0.727889381858168,-3069.41317979395,"os_decay"
32,-0.187349162777993,1.75319556297541,6.11536071744659,0.474100961790157,-1025.04777570611,"os_decay"
33,-2.44769797887381,6.2451445363111,5.39821875916364,0.669752988875352,-2863.89343766704,"os_decay"
34,1.40992847551845,-3.03983376471319,5.5059942603395,0.78606626448539,-1707.24709813127,"os_decay"
35,-1.02300758327903,7.72804623698607,4.93785897890197,0.878646109592919,-3748.76671161667,"os_decay"
36,-1.38256289644317,8.0852018054923,5.03272060526006,0.704431344692086,-3486.75740256863,"os_decay"
37,-0.523422331685836,2.99618047350386,5.37446234346048,0.590897003483498,-2682.9389995995,"os_decay"
38,-0.401518728292117,1.06354181978694,4.90964821377688,0.631846228491481,-2846.8537464559,"os_decay"
39,-0.0953767914197929,1.25633489487912,4.54891895339079,0.539730200464349,-1633.38636077281,"os_decay"
40,-0.399299089677539,3.09387613598564,5.92024203594304,0.660008223921059,-1776.08095714221,"os_decay"
41,0.664481708455067,1.07188521801021,4.90732904964924,0.767405261500111,-1776.3111573955,"os_decay"
43,0.135981273055184,0.211039734337482,4.63003705314429,0.432199821890118,-1396.23154047554,"os_decay"
45,-0.393795138567628,1.7577125963668,6.3335510810001,0.464498994428963,-1675.35438496906,"os_decay"
46,-0.8384711063425,6.08288634350276,5.28637714877542,0.775151529684141,-2072.35032725127,"os_decay"
47,-0.239619983330694,1.01156010888646,5.67075891101098,0.763132459021865,-1310.56954298375,"os_decay"
48,-0.0155227636914545,1.16077662837143,5.42556952130221,0.448582079667995,-1143.19313795091,"os_decay"
49,0.305831803655843,0.760426910840727,4.85467939243101,0.656131809339666,-1632.98108098443,"os_decay"
50,-0.380361831272175,1.344668731043,5.60093377773961,0.878512215790242,-1780.67947804578,"os_decay"
51,0.836165861856231,0.616824681338272,4.82367157674073,0.540941218721281,-1212.37228543382,"os_decay"
52,-0.291753005552147,3.7611360374723,5.4887413605462,0.719018378811469,-1647.76315051588,"os_decay"
53,-1.68497814467645,7.15548684367272,4.70934469973845,0.840011758534353,-3815.9410060367,"os_decay"
54,-1.71819286175308,5.56496988261774,5.41990843923503,0.858343447683885,-2964.14500973246,"os_decay"
55,-1.5469098772941,10.5631540852893,5.12894285822795,0.874253876024685,-3658.40994742971,"os_decay"
56,1.73807200840081,0.471499347073277,4.89604884036105,0.692826231233174,-1624.2300613154,"os_decay"
58,-1.1766783666897,6.31475638001616,5.16943109862205,0.85442935718583,-2148.53387976948,"os_decay"
60,-0.112109404070581,2.65988242105467,4.87619714985952,0.793594944207709,-2934.94615202543,"os_decay"
61,-1.77843805371492,8.54162496530477,4.62537804058288,0.826167715758229,-4622.12077698931,"os_decay"
62,-0.612860493680726,1.28792171059661,4.52658294139739,0.824423923982305,-3040.15288876909,"os_decay"
63,-1.4711844959893,4.24690240636001,4.80052568105527,0.701535512902632,-2775.03362375062,"os_decay"
64,-0.570848187916968,3.4833552204304,4.7392634183487,0.805264515504875,-2124.55962952466,"os_decay"
65,0.0851301244802192,1.25673224308554,4.4353453799284,0.648967767509147,-2059.9504348524,"os_decay"
67,-1.36748131686352,4.7626378111886,4.57367156934299,0.633663250789464,-2644.53939517568,"os_decay"
68,0.102102903426231,0.732123593566321,6.17354560119325,0.612595429513967,-2059.34468152128,"os_decay"
69,-2.96760840291732,8.37007620504201,5.04254740193598,0.887092299697089,-3150.3957833529,"os_decay"
70,-1.03840993439115,10.9543351897993,4.83880441021087,0.98725726027145,-3613.71268472542,"os_decay"
71,-1.02297459655732,4.0628476020224,4.68514853115564,0.723137931481713,-2612.15283938369,"os_decay"
72,-0.94829843281261,3.48482927849966,4.968977625693,0.806366217495372,-2030.67773877786,"os_decay"
73,-1.44695907934624,2.77950719509765,4.84872980929032,0.933624470153423,-3540.37528403163,"os_decay"
74,-0.712441227895385,1.94680029439979,4.88511280216717,0.625353292320217,-2391.79054646541,"os_decay"
75,0.176182450823085,2.09369337602255,4.995095321049,0.848087087696352,-2986.17065703705,"os_decay"
76,0.848522012953783,-2.12007626186599,5.63298747739694,0.640560553728346,-1558.6165563717,"os_decay"
