id,a1,b1,gamma1,sigma1,ll,model
46,-1.26280396872857,7.2764101785427,5.23989457414926,0.757143063591241,-2030.50915194761,"os"
47,-0.217384961453451,1.08218157577866,5.66426576068116,0.76271363453533,-1309.94319455677,"os"
48,-5.66965976050647e-05,1.17509351453924,5.42357384493411,0.44812151350905,-1141.29075271848,"os"
49,0.390782764815851,0.455973173418297,4.86517524956335,0.657468453063654,-1636.31247772214,"os"
50,-0.311765645486097,1.33793192855012,5.59271851898496,0.878238313374009,-1780.24877246185,"os"
51,0.75097108504171,1.09605770867229,4.80266916624765,0.53558747287393,-1197.38302399143,"os"
52,-0.237074184085736,3.86388043125648,5.47780579829967,0.714955206942058,-1639.18897652538,"os"
53,-1.52270423428116,7.27559128459859,4.6944454198125,0.833688628898713,-3792.77464268798,"os"
54,-1.91760295136835,6.10094924425889,5.40092341320836,0.854840213857403,-2954.57099977644,"os"
55,-4.95575084373265,17.316125488437,5.01652532102426,0.794255101802903,-3385.09843986449,"os"
56,1.9529768350675,0.428980475033275,4.87706517984917,0.685425180843848,-1607.64772617097,"os"
58,-1.15367936892863,6.34383273739463,5.16555496242396,0.852673083678022,-2145.0297727855,"os"
60,-3.42376457027659,9.26248586798701,4.73229224945952,0.753393525120214,-2806.49010017801,"os"
61,-1.79109698579891,8.58434382495781,4.624980465854,0.825897179059461,-4620.88788149148,"os"
62,-0.553733712275576,1.30244778852881,4.52194089452944,0.824346621347313,-3039.92036761458,"os"
63,-1.51154957521713,4.48586591251237,4.79075665859831,0.699531990695483,-2767.5775527249,"os"
64,-0.588587000038826,3.64635618875563,4.73160782121658,0.803276472086259,-2120.19183293697,"os"
65,0.0851305884731004,1.25673113673278,4.43534542753496,0.648967767156226,-2059.95043986912,"os"
67,-0.579164382783578,3.95517211664852,4.55749321017623,0.629936089917958,-2628.33400136489,"os"
68,0.120444016860275,0.622797048254342,6.17544129570659,0.613078565635403,-2061.09247534059,"os"
69,-1.82515923480345,7.78152127919652,4.97783216723981,0.866734134648304,-3094.09517949369,"os"
70,-3.4936763054042,16.5361720482283,4.72712505599836,0.88683587956021,-3338.02702170631,"os"
71,-0.923666830968732,4.03170839126211,4.67910047213435,0.721896954026659,-2608.05461931196,"os"
72,-0.94562124856322,3.49173831982767,4.96815188432135,0.806260535394997,-2030.45661707424,"os"
