id,bkC,bC0_1,bC0_4,bN,bOC,bkE,bU,bE,bEv,bPN,bPR,ptr0,ptr1,ptr4,alpha,ll,model
86,-2.47586006727098,-116.209766213154,-416.833720728515,0.0685059144645088,262.189360963714,-5.63967220140025,0.678411315959314,0.962535204344845,0.122601305573342,-0.065863422332267,0.411232256033804,0.999999960811557,0.999999984109623,0.99154997893455,0.993056514658842,-483.763731981596,ts_decay_stop
87,0.426860621323093,2.19344574820932,0.381642520354335,-0.106760152860655,0.159459242103292,-5.32776726037675,-1.26816588583204,1.3719931257771,0.913875211622756,-0.0400922407065114,0.454803838780184,0.998500591877373,0.999999999014663,0.999999998778726,0.999999945099957,-533.008362240093,ts_decay_stop
88,-22.5389349642962,12.5729087136814,9.40956447046587,4.39270513342566,0.442429849246685,-2.95648786189532,0.617827646757847,0.661832829205791,-0.00162973792544808,-0.175346268705131,0.748442647670992,0.978590551439796,0.932388181576032,0.549306122129279,0.928812876088948,-536.313442923587,ts_decay_stop
89,-1.82040859512359,-67.1560914497888,-183.01206505889,0.0527901229831622,453.536260627793,-5.95672000316421,2.89665086266231,1.47825781736292,0.696077764625284,-0.0814766588451614,-0.190720800072273,0.991509925181604,0.999999988911845,0.934500070295131,0.953177506507153,-462.587889210133,ts_decay_stop
90,-1.34746061283947,-12.106071769367,-43.2896511692508,0.129875864899414,35.3034169633354,-3.41242372105505,-0.770341101457191,0.458199293691122,0.576881027560884,-0.0248029421667185,0.228889428677868,0.9999999649888,0.991003871804589,0.978599389542239,0.999999984921958,-610.347270472142,ts_decay_stop
91,-0.896727696163277,-70.3839207581063,-220.113819533905,0.0106516913734904,371.241556314471,-2.22544777443585,-1.18248821013575,2.23941740575825,0.770191115627774,-0.222951287315083,-0.552525384248219,0.975826745969924,0.934032564857604,0.869709138958094,0.953418552002622,-397.192005432245,ts_decay_stop
92,-1.60458146398964,-6.53279375282428,-17.3968307166948,-0.0139018398763723,11.0544601553127,-3.36354230678569,-0.447436064884998,0.363293590950658,0.542527363801055,-0.15192825906398,1.51254603322147,0.999999984869648,0.901938504023717,0.816819862282153,0.970232134352292,-532.802519547417,ts_decay_stop
93,-6.20452159873483,7.20236671581953,10.1855702758016,0.0124438219345206,-0.286941673755809,650.525192204909,-1618.98533483375,-329.264345638538,816.453040000577,-0.105766056601197,0.374874684390232,0.999998770575993,0.999999690933948,0.997133315800693,0.949855145352459,-250.48382049302,ts_decay_stop
94,-2.99115450148113,-83.2774893606836,-331.473415506547,0.0678733391907228,209.582686286464,-0.283882517915523,-2.9222758369454,0.602340093521505,1.06668604331962,-0.146467827476013,-0.420150691587423,0.999999971309902,0.999999855973626,0.999999926299018,0.931904649646201,-433.360599963081,ts_decay_stop
95,-1.35733805545055,-49.663583666194,-101.333506699467,0.0377191845911238,258.333704586806,-1.56777195283184,0.068955955248405,1.89128274302238,0.57342822547288,-0.401381566277938,-0.707165672650587,0.983904083393627,0.943023993030746,0.933101624649901,0.987274104772641,-446.650246888738,ts_decay_stop
96,-4.39068668795493,-2.87819238288536,-6.49560952612731,0.252466438428074,10.1768260500869,331.363914831719,-139.798121528155,29.5401610323757,100.856813682696,-95.3417762543832,-5.08788788992384,0.765822693648814,0.636816856191446,0.691745339969402,0.982583495035122,-461.587776274286,ts_decay_stop
