id,bkE,bU,bE,bEv,bPN,bPR,bkC,bC0_1,bC0_4,bN,bOC,ptr46,ptr28,alpha,ll,model
60,-1760.85113881875,1132.86585689651,1672.31204938455,-1074.39383124688,-0.371981471167567,-0.130084252824081,-3.70739420278111,-396.636534924513,-1616.40538460539,0.205133024432373,1332.54990350446,0.0522769223534769,0.260690551915753,0.0512179946923642,-467.182947487929,ts2_ratio_decay
61,-4.07962616494651,-0.699628203113796,2.53697759583675,0.0938260007941201,-1.42632531159684,1.43609966631374,-257.520827475154,91.1513193500798,-139.420048525344,11.3960826410659,219.320459346787,0.0651347794747706,0.274118546859815,0.944584810886843,-413.269889215835,ts2_ratio_decay
62,-30.4505986445985,-2.18545792783113,19.9831422369522,1.41727085751713,-0.451547991149571,-0.217248018406075,-9.86361402475561,-0.858982566807272,-10.4954588147545,1.53348204543913,12.7676060429989,0.0767322586185443,0.247869696351558,0.407622782123931,-598.839040472971,ts2_ratio_decay
63,-4.41733415879663,-0.739444628742207,0.508644593548883,0.504780783280671,-0.156761826003018,0.326725157764188,-29.3376753044309,-260.521562523838,-1226.102971516,1.50654289334589,1042.19729708331,0.128965648511147,0.307404531269756,0.940436685495839,-581.05561449145,ts2_ratio_decay
64,-5.52673570488698,-0.281601887640972,1.02029998428961,0.177223015247087,-0.084994109268351,0.889049831593018,-347.04590835191,292.645124251289,283.731683007727,16.817785450736,11.2029206320778,0.299246194044347,0.530187552208301,0.984003375053499,-498.457735709294,ts2_ratio_decay
65,-15.6427938019553,1.11041411309313,7.73621543396878,-0.243599917076677,-0.695922941190485,0.109562665658239,-12.5761616822026,-0.383185190578872,-8.12246617836466,2.18510886579871,7.30268069698889,0.172712649899696,0.39954842737883,0.658259505995263,-569.584819906894,ts2_ratio_decay
67,-42.0736960694696,-3.77490222055009,8.1898920147785,2.76994030788605,-0.896101616916493,30.7541264193019,-4.27885237222889,-0.136060653487588,-2.03351245003002,0.239814030059729,5.64135191590891,0.126986422249203,0.37275489430595,0.469671369468927,-615.818013448644,ts2_ratio_decay
68,-6.24048788554076,-0.567226820755951,1.98784287610535,0.551398469338219,-0.153212130257336,0.490355985288165,-7.31499049370858,-65.2945082156976,-223.898590444548,0.535320146170813,142.917872085067,0.116951099169604,0.229823240177566,0.819582044737723,-569.758335836014,ts2_ratio_decay
69,-122.313808520766,58.6613803529816,102.405977448783,-47.6687055951001,-0.49963991421799703,0.0804149889707544,-5.25766072967087,-366.785789349074,-1111.51319529838,0.502853960565097,929.758172230352,0.0842805091782823,0.178234272253615,0.178718395798196,-554.421315609843,ts2_ratio_decay
70,-43.2666732507203,20.9144220788979,33.5098243813261,-16.0275697680498,-0.362469511317515,0.142970358944568,-4.77446055093293,-245.520750570337,-497.049033669326,0.171825519609802,1249.65736370005,0.0422731821468742,0.290098770285722,0.284496243986714,-400.876328361002,ts2_ratio_decay
71,-5.3672123230286,0.252247954610196,0.985142433862007,0.193233819255598,-0.0987665012374115,0.343482136293786,-215.511058282049,62.0391336371792,-36.230755171984,11.3541228634529,266.321656594377,0.15349827278275,0.203111425126093,0.921110940858579,-598.128644692189,ts2_ratio_decay
