id,bkC,bC0_1,bC0_4,bN,bOC,bkE,bU,bE,bEv,bPN,bPR,ptr46,ptr28,alpha,ll,model
12,-2.22015517398971,-13.9946515715565,-51.9333387358122,-0.0441623537191269,64.1675352794601,-3.66369993591525,-0.904898944576532,1.57585254598513,1.34439200191338,-0.221231566981214,0.186663273307285,0.999999972973632,0.999999968679718,0.979233783501217,-324.047973201266,ts_ratio_decay_stop
13,-4.54705404235986,-24.1228575155687,-115.731352897965,0.199431028227642,148.601848200354,-5.56686929616236,2.32763909227226,1.28684507380232,-0.126382657443144,-0.0843616669157092,0.329641485866501,0.999999631009392,0.99999977055967,0.969024305291981,-502.372461506097,ts_ratio_decay_stop
14,-2.24949734315253,-130.878797726687,-323.915698470457,0.0768830581542283,379.080084941593,-4.83797885485395,-1.13027996323623,0.52658264848361,1.50273494692336,5.32319156065742e-4,0.223259003718334,0.999999961747544,0.999999984428565,0.867859884005257,-474.160061346072,ts_ratio_decay_stop
15,-2.59216691243467,-28.2754932647717,-61.0514436522161,0.135351099937455,156.359934235966,-2.61675058173367,-0.215851701392621,0.481715570881675,0.948105643655429,-0.16599376698924,0.151719851503647,0.999999982782377,0.999999983137586,0.999999901273472,-541.994022961886,ts_ratio_decay_stop
16,-1.9536352008502,-7.76610893397463,-31.2080158202127,0.0950692349251886,27.1197637185652,-1.57850409155282,-0.365445734996674,0.240323612306131,0.712019023549893,-0.108986443576038,-0.0321236923823675,0.991982802459825,0.999999745134541,0.935277823995631,-573.217240842692,ts_ratio_decay_stop
17,-3.6895853349571,3.24035627464166,13.2514261637233,0.0847423769131203,-1.60088202354131,-3.30352423800651,-1.3368514471661,0.543297084090967,1.87382335403547,-0.108592429204711,0.412542225683662,0.992652374700775,0.999999999156242,0.963251544344445,-525.135329837154,ts_ratio_decay_stop
18,-3.77948732984028,3.0117667456921,27.9161576187877,0.135315307117116,-1.45422288376068,-2.2877803433412,-2.0971800724051,0.116774178035485,1.99042663755789,-0.135711718993934,0.37124995655872,0.991761901361342,0.999999994138231,0.97579719636489,-536.973396066415,ts_ratio_decay_stop
19,-6.92522695970323,0.434473775882796,-0.0930523522972156,1.9380588910683,1.70298955078,-4.26103503903296,0.0481543590893017,1.70595081117599,0.331877913081922,-0.123389990898348,0.472497863115405,0.998704431431827,0.999999998689508,0.918823618336146,-439.239612528771,ts_ratio_decay_stop
20,-1.45797377494415,-76.006878144324,-312.686731160426,0.0779166267441867,197.441449181073,-6.51550538819107,0.373669015348209,2.05359776838328,-0.0527014900622044,-0.0545808287537354,0.878716037614477,0.983487920171917,0.999999575651472,0.942987497833884,-496.074286582212,ts_ratio_decay_stop
21,-3.0982261250806,0.490775906562286,-9.3928737709352,0.125719118741545,11.5388871727868,-2.72102774470708,-1.79888972542371,1.07903178440397,1.44888226109173,-0.167824205809612,-0.358481393185061,0.99199338059531,0.961390005462334,0.944165717807459,-476.106722667532,ts_ratio_decay_stop
