id,bkE,bU,bE,bEv,bPN,bPR,bkC,bC0_1,bC0_4,bN,bOC,k,b,alpha,ll,model
32,-3.83617967702287,-0.74202612651879,1.69543488123102,0.815036845734814,-0.0355013947554951,-0.0325171364447195,0.194808875471155,-10.5772787018973,-23.0928290798654,-0.0496610271251234,38.9792596065414,7727.0904086949,21442.8762400421,0.936515312203066,-453.244023580412,ts2_flex_decay_stop
33,-1.89067263846247,-5.92704022325951,0.33266924922205,3.22702337088227,-0.0509926791945583,0.0168698072692693,-28.2688035373552,28.5246977920516,-16.5533683078606,-7.23408500517582,71.7503094572597,-0.161464556149269,3.00744237610411,0.87685848039244,-445.253860370975,ts2_flex_decay_stop
34,-1.69257719791458,0.0833866061107593,2.45283752234502,-0.18840523332445,-0.272554919906018,1.24322271930168,-2.59585226799633,-320.101812699583,-970.045778898053,0.0257462332618041,1215.31804048551,-0.388671502971907,4.73391945034747,0.976103799885407,-366.247216336919,ts2_flex_decay_stop
35,-2.8271558720996,-1.47087622427391,0.482173349543605,2.17544736046065,-0.124909791043959,-0.141381488822903,-8.01612595367472,7.63374337530798,43.1004919760845,0.357767219102382,-3.92802877575089,-0.445979550043194,7.11995972596196,0.910667853939335,-463.625501764024,ts2_flex_decay_stop
36,-3.37424754257107,-2.58407688149769,1.12945188918516,1.46260544020325,-0.110739215198231,-0.0338851675731677,-307.230014983532,306.837229412368,699.736866636795,7.92523475547646,-79.2000512607353,-0.10870399731268,6.9158156300393,0.982801154629473,-355.254269362599,ts2_flex_decay_stop
37,-3.34691357374619,-0.89713131992306006,1.92623878344401,0.224961992715349,-0.0352511833682576,-0.144820828787585,-3.85111643616398,-2.0732152711664402,-16.9833517200076,-0.382676214732757,20.2952407721045,2673.84835407565,16088.7625932563,0.869952785590112,-288.778475086212,ts2_flex_decay_stop
38,-4.18072181251882,0.273816858636036,0.862141512564753,0.184642020224957,-0.0871197427572165,0.721048809297903,-70.7212115779489,61.2485120053161,63.8009851893133,1.48848470573522,-0.741497816123327,-0.335045441722362,1.71677402243127,0.999999994544691,-545.550140208188,ts2_flex_decay_stop
39,-0.134754573720139,-0.546042094013413,0.544298192412724,0.103400504339574,-0.16260859857915,0.955914692996888,-4.19300483526054,-7.19697737148577,-48.0427402192676,0.19745819798024,31.9678808917592,-1.37882214172543,6.41856748340429,0.999999998692809,-466.964370862958,ts2_flex_decay_stop
40,0.00979908157742867,-3.07938153123732,0.385516045039061,1.80325635120228,-0.129813992821627,-0.249421887263366,-2.8536708618223,-4.01264634189899,-16.6634586193162,0.196507436337316,16.5562435043508,-0.847781799187743,3.51980885508727,0.869585641157288,-473.588965793925,ts2_flex_decay_stop
41,-0.348452295339573,-0.0924292482905787,0.72229821280162,0.307803809771458,-0.212684494042741,0.440824183264969,-3.60214944152809,-17.128576235322,-28.4607641854534,0.312954962868709,39.7572894585808,-0.618580605998097,3.48540895201527,0.999999998299695,-477.881231769772,ts2_flex_decay_stop
43,-3.11148600807131,-0.429477668886106,0.77668024904975,0.601451101629316,-0.0379440048541644,0.649272165034764,-14.0619230096311,10.536595137081,8.91250000726062,0.283995949724393,2.51373761929322,-0.2853316681902,2.85891369626678,0.999999997946713,-566.801185502371,ts2_flex_decay_stop
45,-1.49628250205867,-6.54076437199763,0.24416445401881,3.07554721306196,-0.0349383740733104,-0.587010245214037,-2.42910814346785,-7.89481297191344,-29.3156236859765,0.128870770578076,22.0511885342527,-0.542889144679485,2.57064636326776,0.913048161634388,-427.291258417086,ts2_flex_decay_stop
46,-1.53441288358365,-1.04381669438328,0.994028866834058,1.56632332643078,-0.155614971915344,-0.119913683383754,-3.68979580208438,-1.62106057745631,-17.9551368820625,0.111304875132046,18.6110935061356,-0.319902551918989,3.73241610199372,0.961748171999973,-438.889882282008,ts2_flex_decay_stop
47,-2.08692739442661,0.689409598559856,1.9705506198218,-0.210799769085083,-0.230647372639508,0.305779961094069,-7.52568821106948,-0.946832675753935,-26.4949234140615,2.09748204660381,22.1449220239503,-2.25002350640864,5.41264343216984,0.917661423282817,-349.370129179813,ts2_flex_decay_stop
48,-2.16008982198357,-0.926139560648729,0.988084868937103,0.645854722102828,-0.0337692873806745,-0.306040098956716,-3.12159748668803,-154.784323388213,-628.943765028841,0.125346297687911,526.673882585522,-1.34712102301952,3.80066644718505,0.970774825459349,-436.740998196727,ts2_flex_decay_stop
49,-3.85327927626582,1.97993138050737,1.41343243725614,0.0557143185464817,-0.140539592523767,0.348001038186701,-1.04297817004322,-1.90287612460801,-17.0719669134441,-0.127951598740472,24.7823292093335,-0.408400407635166,3.25380454597963,0.988013095042788,-477.140141603563,ts2_flex_decay_stop
50,-2.87613269819261,-1.88526484036997,0.950153256475155,1.82297502535041,-0.113489173797819,0.305300206827963,-0.12027286419904,-70.176394805471,-279.681670566256,0.0706948611609663,349.344639938554,-15.6773449734604,228.083948197549,0.947384016373709,-437.271741314338,ts2_flex_decay_stop
51,-0.462142211570353,-0.219706472519886,2.78739237840554,0.205124857837299,-0.337913150578042,-0.575359881984858,-3.25695077483929,-109.030313037331,-633.326923143125,0.129537090175279,797.383086593736,-0.438207209230668,6.56734231836274,0.95533075819543,-342.158635370723,ts2_flex_decay_stop
52,-3.91530269842815,-0.4330707750983,1.79334652537629,0.535235106051965,-0.0479523404076338,0.170750870830704,-7.1819384742466,-1.86821887805879,-9.91137598159963,1.21568178563723,18.5479968642886,-1.89783364102282,4.50749071167314,0.929454022632673,-367.236114595757,ts2_flex_decay_stop
