id,bkC,bC0_1,bC0_4,bN,bOC,bkE,bU,bE,bEv,bPN,bPR,k,b,alpha,ll,model
17,-2.88942975414814,1.75158051227395,5.07538530654349,0.0165005869639656,-0.0385386206024383,-4.61544024919359,-1.15283914721772,0.638515948669605,2.34714100214592,-0.0844334127506964,0.602251449021608,-606.391624628535,1331.23151311871,0.943080498172927,-516.916950402274,ts_flex_decay_stop
18,-3.79997836647246,2.99169524054602,682578.912819445,0.135661907231882,-1.44121782350352,-2.15852094468229,-2.22187680256599,0.0843281488444471,2.02976451804588,-0.130839353234114,0.354329389880594,1.90843927921344e-5,5.09928436302345,0.976737746373074,-537.150638702114,ts_flex_decay_stop
19,-6.72442600029208,0.312455260344793,-0.479961029346855,1.88170336865887,2.03010253371097,-4.62142278482143,0.255544230781095,1.83015748100322,0.249065721175135,-0.123596597063154,0.537018750754638,-6250.42734466065,207511.537798147,0.91832916483342,-426.56769628118,ts_flex_decay_stop
20,-1.41882264060396,-183.821976144447,-744.167899751784,0.0769390202340207,467.167856051282,-6.82731347703035,0.219135139691497,2.10819334075289,-0.00579727990022323,-0.0543696459719562,1.03782155763027,-0.00183256448968101,4.8451927255501,0.940601033610681,-492.239757209526,ts_flex_decay_stop
21,-2.08285527027705,-0.0562911788771548,-11.4806459480728,-0.00304436284375015,12.3392157351578,-3.78677363078892,-0.0477055389503526,1.50682720789723,0.68506047347942,-0.143586159254062,-0.395131174010578,11406.3272730693,24410.7578885379,0.950011586145608,-474.135327718775,ts_flex_decay_stop
22,0.267497120472589,-4.06092410000854,-14.8547876186166,0.142888147077462,13.448292524275,113.450757568379,57.8852615283334,27.5227995861693,-19.5226600773004,-48.5098700247808,-1.93294800908005,-2.28997577132785,5.60668244248728,0.999999637966672,-404.245801348129,ts_flex_decay_stop
23,-5.283140522157,1.092036665674,1.76181953932815,0.741374579935954,3.12015416826734,-4.3679974041249,1.81026278905829,1.00569010141053,0.0113561942870735,-0.40262268958272,1.4209321727281,-0.315823794232787,2.43813230943321,0.999999810767224,-538.679412455272,ts_flex_decay_stop
24,-4.50650718595963,-33.2674836260648,-105.346661733018,0.142544331983101,189.738709194198,-4.31719831192497,1.2654654796713,0.726164375792279,0.537884873658883,-0.0644321853540997,-0.12735274639521,-0.0278814459914862,37.8699097720866,0.919360440703759,-468.920888064745,ts_flex_decay_stop
25,-2.36066829906159,0.525085949279813,-2.59812337842918,0.128770513159627,5.26752980508587,-3.38006229756673,0.0564944482531551,0.735229801732463,0.162214742085756,-0.144499783190896,0.258099385848481,-0.0830680543814279,4.35755385031036,0.966015418812161,-604.047768718884,ts_flex_decay_stop
26,10.421711855945,-9.62243144108065,-10.3465098200104,-0.387843621355066,3.30711518668653,-4.07854596644481,-1.16688295338297,1.75369732487448,2.57077272969642,-0.209000656386199,0.501821464039384,521.100645622863,-29.5112111445719,0.907075678072537,-382.095935827671,ts_flex_decay_stop
27,-2049.22520961166,6426.63889053466,-3506.662106041,512.19077674613,3351.79900079104,-2.26572205704683,-0.494876562713052,1.21333825713069,0.060730955431575,-0.136648176658306,-0.355706403695729,-5.33302461740684e-4,6.55268611478014,0.914933956604506,-521.357893400037,ts_flex_decay_stop
28,-5.04799278917707,1.77083091525648,3.29141803816733,1.39366542621241,0.576618961906357,649.828368980777,-1821.80285391078,662.845953244519,1861.52161318802,-1270.36831602933,1163.00303759578,-0.0112125909050396,0.921153036661396,0.96396836355749,-442.500319586759,ts_flex_decay_stop
29,-1.18978939120614,-31.9921615111427,-92.7980933121257,0.133740698692647,115.849643098933,-9.26039298115647,2.40697300553767,4.96579687077966,-1.19389812697892,-0.136661889772444,-0.659900486815324,-0.00226557359807368,2.97716749980524,0.909403832460065,-431.215438423675,ts_flex_decay_stop
30,-1.05005727342885,24917.044375995,7.22061939365041,0.0266100061103787,-1.39717352495241,-3.39409184830677,-4.51530872592877,0.62136395406043,2.56632069317082,-0.0454365337702368,-0.583239139178028,-4.03331593891085e-4,14.7627652906512,0.969297826534348,-451.7104144211,ts_flex_decay_stop
31,-3.71459853115391,-6.40057410026369,-25.1963961100715,0.068393620607751393,36.3316618164042,-1.87808447810454,-0.157560792554808,0.342360787905613,0.846607582288043,-0.143806285499036,-0.283005052770078,15.9517749416593,2421.03760270775,0.945674727618543,-455.957427951418,ts_flex_decay_stop
32,0.730259994195949,-14.6309621223225,-32.2266889687388,-0.146318077229583,51.652787200703,-4.71381284401762,0.153206768987897,2.08139351037494,0.346324010394413,-0.0692081713096942,0.0451368356060957,11.7996825841661,7.80460815277506,0.972237005243033,-442.356855429896,ts_flex_decay_stop
